pipeline_id,perturbation_family,s_order,s_qa,e_crit,ordering_only,qa_only,critical_only
P1_proxy,brightness,0.9683333333333334,0.9666666666666667,0.0,0.031666666666666655,0.03333333333333336,0.0
P1_proxy,contrast,0.9841666666666666,0.9833333333333333,0.0,0.015833333333333328,0.01666666666666668,0.0
P1_proxy,image_noise,0.9683333333333334,0.9666666666666667,0.0,0.031666666666666655,0.03333333333333336,0.0
P1_proxy,mask_dilate,0.9683333333333334,0.9666666666666667,0.0,0.031666666666666655,0.03333333333333336,0.0
P1_proxy,mask_erode,0.9683333333333334,0.9666666666666667,0.0,0.031666666666666655,0.03333333333333336,0.0
P1_proxy,mask_shift,0.9683333333333334,0.9666666666666667,0.0,0.031666666666666655,0.03333333333333336,0.0
P1_proxy,none,0.9762500000000001,0.975,0.0,0.023749999999999993,0.025000000000000022,0.0
P1_proxy,parameter_noise,0.8208333333333334,0.8666666666666667,0.0,0.1791666666666666,0.13333333333333328,0.0
P1_proxy,target_noise,0.9683333333333334,0.9666666666666667,0.0,0.031666666666666655,0.03333333333333336,0.0
P2_diffusion_exp06_rerun,brightness,0.4975,0.48333333333333334,0.8333333333333334,0.5025,0.5166666666666666,0.8333333333333334
P2_diffusion_exp06_rerun,contrast,0.536875,0.5333333333333333,0.8333333333333334,0.463125,0.4666666666666666,0.8333333333333334
P2_diffusion_exp06_rerun,image_noise,0.6070833333333333,0.5333333333333333,0.6666666666666666,0.3929166666666667,0.4666666666666666,0.6666666666666666
P2_diffusion_exp06_rerun,mask_dilate,0.40208333333333335,0.4,1.0,0.5979166666666667,0.6,1.0
P2_diffusion_exp06_rerun,mask_erode,0.5083333333333333,0.5333333333333333,0.8333333333333334,0.49166666666666664,0.4666666666666666,0.8333333333333334
P2_diffusion_exp06_rerun,mask_shift,0.5735416666666667,0.5,0.75,0.42645833333333333,0.49999999999999994,0.75
P2_diffusion_exp06_rerun,none,0.31250000000000006,0.55,0.5,0.6875,0.45,0.5
P2_diffusion_exp06_rerun,parameter_noise,0.47250000000000003,0.4,1.0,0.5275,0.6,1.0
P2_diffusion_exp06_rerun,target_noise,0.425,0.38333333333333336,1.0,0.5750000000000001,0.6166666666666667,1.0
P3_sparse2_ridge,brightness,0.9920833333333333,0.9916666666666667,0.0,0.007916666666666664,0.00833333333333334,0.0
P3_sparse2_ridge,contrast,0.9841666666666666,0.9833333333333333,0.0,0.015833333333333328,0.01666666666666668,0.0
P3_sparse2_ridge,image_noise,0.9841666666666666,0.9833333333333333,0.0,0.015833333333333328,0.01666666666666668,0.0
P3_sparse2_ridge,mask_dilate,1.0,1.0,0.0,0.0,0.0,0.0
P3_sparse2_ridge,mask_erode,1.0,1.0,0.0,0.0,0.0,0.0
P3_sparse2_ridge,mask_shift,1.0,1.0,0.0,0.0,0.0,0.0
P3_sparse2_ridge,none,1.0,1.0,0.0,0.0,0.0,0.0
P3_sparse2_ridge,parameter_noise,0.9025,0.9166666666666667,0.0,0.09749999999999999,0.0833333333333333,0.0
P3_sparse2_ridge,target_noise,0.9841666666666666,0.9833333333333333,0.0,0.015833333333333328,0.01666666666666668,0.0
P4_sparse4_ridge,brightness,0.9920833333333333,0.9916666666666667,0.0,0.007916666666666664,0.00833333333333334,0.0
P4_sparse4_ridge,contrast,0.9841666666666666,0.9833333333333333,0.0,0.015833333333333328,0.01666666666666668,0.0
P4_sparse4_ridge,image_noise,0.9841666666666666,0.9833333333333333,0.0,0.015833333333333328,0.01666666666666668,0.0
P4_sparse4_ridge,mask_dilate,1.0,1.0,0.0,0.0,0.0,0.0
P4_sparse4_ridge,mask_erode,1.0,1.0,0.0,0.0,0.0,0.0
P4_sparse4_ridge,mask_shift,1.0,1.0,0.0,0.0,0.0,0.0
P4_sparse4_ridge,none,1.0,1.0,0.0,0.0,0.0,0.0
P4_sparse4_ridge,parameter_noise,0.855,0.8500000000000001,0.0,0.14500000000000002,0.14999999999999994,0.0
P4_sparse4_ridge,target_noise,0.9841666666666666,0.9833333333333333,0.0,0.015833333333333328,0.01666666666666668,0.0
